"country_tid";"rank_biological";"region_tid";"score_biological";"title"
257.0;1.0;213.0;99.6;"Harvard University"
208.0;2.0;140.0;94.1;"University of Cambridge"
257.0;3.0;213.0;93.6;"Massachusetts Institute of Technology (MIT) "
208.0;4.0;140.0;93.1;"University of Oxford"
257.0;5.0;213.0;92.9;"Stanford University"
257.0;6.0;213.0;89.7;"University of California, Berkeley (UCB)"
257.0;7.0;213.0;88.7;"California Institute of Technology (Caltech)"
257.0;8.0;213.0;88.7;"Yale University"
257.0;9.0;213.0;88.1;"University of California, San Diego (UCSD)"
205.0;10.0;140.0;88.0;"ETH Zurich - Swiss Federal Institute of Technology"
257.0;11.0;213.0;87.8;"University of California, Los Angeles (UCLA)"
257.0;12.0;213.0;87.5;"University of California, San Francisco"
208.0;13.0;140.0;85.7;"Imperial College London"
100.0;14.0;71.0;85.7;"Kyoto University"
257.0;15.0;213.0;85.5;"Columbia University"
257.0;16.0;213.0;85.1;"Princeton University"
124.0;17.0;71.0;84.9;"National University of Singapore (NUS)"
100.0;18.0;71.0;84.0;"The University of Tokyo"
257.0;19.0;213.0;83.8;"Cornell University"
208.0;20.0;140.0;83.7;"UCL (University College London)"
319.0;21.0;317.0;83.2;"The University of Queensland"
208.0;22.0;140.0;82.9;"University of Edinburgh"
319.0;23.0;317.0;82.8;"The University of Melbourne"
257.0;24.0;213.0;82.6;"University of Washington"
257.0;25.0;213.0;82.3;"University of Pennsylvania"
257.0;26.0;213.0;82.1;"University of Chicago"
257.0;27.0;213.0;81.5;"Duke University"
222.0;28.0;213.0;81.4;"University of Toronto"
100.0;29.0;71.0;81.3;"Osaka University"
319.0;30.0;317.0;80.7;"The Australian National University"
257.0;31.0;213.0;80.2;"Rockefeller University"
222.0;32.0;213.0;80.2;"University of British Columbia"
162.0;33.0;140.0;80.1;"Ludwig-Maximilians-Universität München"
162.0;34.0;140.0;79.9;"Ruprecht-Karls-Universität Heidelberg"
257.0;35.0;213.0;79.5;"University of Wisconsin-Madison"
257.0;36.0;213.0;79.4;"University of Michigan"
87.0;37.0;71.0;78.6;"Peking University"
257.0;38.0;213.0;78.5;"University of California, Davis"
257.0;39.0;213.0;78.3;"Johns Hopkins University"
257.0;40.0;213.0;78.3;"Washington University in St. Louis"
203.0;41.0;140.0;78.2;"Uppsala University"
94.0;42.0;71.0;77.9;"The University of Hong Kong"
106.0;43.0;71.0;77.8;"KAIST - Korea Advanced Institute of Science & Technology"
257.0;44.0;213.0;77.6;"New York University (NYU)"
208.0;45.0;140.0;77.5;"University of Bristol"
222.0;46.0;213.0;77.3;"McGill University"
334.0;47.0;317.0;77.3;"The University of Auckland"
208.0;48.0;140.0;77.3;"The University of Manchester"
152.0;49.0;140.0;77.1;"University of Copenhagen"
319.0;50.0;317.0;76.6;"The University of New South Wales"
319.0;51.0;317.0;76.6;"The University of Sydney"
257.0;52.0;213.0;0.0;"Baylor College of Medicine"
205.0;53.0;140.0;0.0;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
257.0;55.0;213.0;0.0;"Georgia Institute of Technology"
162.0;54.0;140.0;0.0;"Georg-August-Universität Göttingen"
100.0;56.0;71.0;0.0;"Hokkaido University"
203.0;57.0;140.0;0.0;"Karolinska Institute"
146.0;58.0;140.0;0.0;"KU Leuven"
208.0;59.0;140.0;0.0;"King's College London (KCL)"
100.0;60.0;71.0;0.0;"Kyushu University"
187.0;61.0;140.0;0.0;"Leiden University"
203.0;62.0;140.0;0.0;"Lund University"
319.0;63.0;317.0;0.0;"Monash University"
100.0;64.0;71.0;0.0;"Nagoya University"
124.0;65.0;71.0;0.0;"Nanyang Technological University, Singapore (NTU)"
128.0;66.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;67.0;213.0;0.0;"Northwestern University"
257.0;68.0;213.0;0.0;"Ohio State University"
257.0;69.0;213.0;0.0;"Pennsylvania State University"
106.0;70.0;71.0;0.0;"Seoul National University"
203.0;71.0;140.0;0.0;"Stockholm University"
106.0;72.0;71.0;0.0;"Sungkyunkwan University"
162.0;73.0;140.0;0.0;"Technische Universität München"
257.0;74.0;213.0;0.0;"Texas A&M University"
94.0;75.0;71.0;0.0;"The Chinese University of Hong Kong"
94.0;76.0;71.0;0.0;"The Hong Kong University of Science and Technology"
319.0;77.0;317.0;0.0;"The University of Adelaide"
208.0;78.0;140.0;0.0;"The University of Sheffield"
319.0;79.0;317.0;0.0;"The University of Western Australia"
100.0;80.0;71.0;0.0;"Tohoku University"
100.0;81.0;71.0;0.0;"Tokyo Institute of Technology"
171.0;82.0;140.0;0.0;"Trinity College Dublin"
87.0;83.0;71.0;0.0;"Tsinghua University"
162.0;84.0;140.0;0.0;"Universität Freiburg"
205.0;85.0;140.0;0.0;"University of Basel"
257.0;86.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
208.0;87.0;140.0;0.0;"University of Dundee"
257.0;88.0;213.0;0.0;"University of Florida"
205.0;89.0;140.0;0.0;"University of Geneva"
146.0;90.0;140.0;0.0;"University of Ghent"
208.0;91.0;140.0;0.0;"University of Glasgow"
187.0;92.0;140.0;0.0;"University of Groningen"
156.0;93.0;140.0;0.0;"University of Helsinki"
257.0;94.0;213.0;0.0;"University of Illinois at Urbana-Champaign"
208.0;95.0;140.0;0.0;"University of Leeds"
334.0;96.0;317.0;0.0;"University of Otago"
257.0;97.0;213.0;0.0;"University of Texas at Austin"
205.0;98.0;140.0;0.0;"University of Zurich (UZH)"
187.0;99.0;140.0;0.0;"Utrecht University"
187.0;100.0;140.0;0.0;"Wageningen University"
152.0;101.0;140.0;0.0;"Aarhus University"
257.0;102.0;213.0;0.0;"Boston University"
131.0;103.0;71.0;0.0;"Chulalongkorn University"
162.0;104.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
187.0;105.0;140.0;0.0;"Erasmus University Rotterdam"
87.0;106.0;71.0;0.0;"Fudan University"
162.0;107.0;140.0;0.0;"Humboldt-Universität zu Berlin"
257.0;108.0;213.0;0.0;"Iowa State University"
100.0;109.0;71.0;0.0;"Keio University"
222.0;110.0;213.0;0.0;"McMaster University"
257.0;111.0;213.0;0.0;"Michigan State University"
208.0;112.0;140.0;0.0;"Newcastle University"
106.0;113.0;71.0;0.0;"Pohang University of Science And Technology (POSTECH)"
257.0;114.0;213.0;0.0;"Purdue University"
174.0;115.0;140.0;0.0;"Sapienza University of Rome"
87.0;116.0;71.0;0.0;"Shanghai Jiao Tong University"
208.0;117.0;140.0;0.0;"The University of Nottingham"
257.0;118.0;213.0;0.0;"The University of Texas M. D. Anderson Cancer Center "
208.0;119.0;140.0;0.0;"The University of Warwick"
241.0;120.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;121.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;122.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
353.0;123.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
174.0;124.0;140.0;0.0;"University of Bologna"
199.0;125.0;140.0;0.0;"University of Barcelona"
162.0;126.0;140.0;0.0;"Universität zu Köln"
143.0;127.0;140.0;0.0;"University of Vienna"
222.0;128.0;213.0;0.0;"Université de Montréal "
158.0;129.0;140.0;0.0;"Université de Strasbourg"
146.0;130.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;131.0;140.0;0.0;"Université Paris Descartes"
158.0;132.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
171.0;133.0;140.0;0.0;"University College Cork"
222.0;134.0;213.0;0.0;"University of Alberta"
187.0;135.0;140.0;0.0;"University of Amsterdam"
222.0;136.0;213.0;0.0;"University of Calgary"
257.0;137.0;213.0;0.0;"University of California, Riverside"
257.0;138.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
54.0;139.0;6.0;0.0;"University of Cape Town"
257.0;140.0;213.0;0.0;"University of Colorado Boulder"
205.0;141.0;140.0;0.0;"University of Lausanne"
208.0;142.0;140.0;0.0;"University of Liverpool"
257.0;143.0;213.0;0.0;"University of New Mexico"
257.0;144.0;213.0;0.0;"University of North Carolina, Chapel Hill"
257.0;145.0;213.0;0.0;"University of Pittsburgh"
257.0;146.0;213.0;0.0;"University of Southern California"
208.0;147.0;140.0;0.0;"University of St Andrews"
208.0;148.0;140.0;0.0;"University of York"
257.0;149.0;213.0;0.0;"Vanderbilt University"
74.0;150.0;71.0;0.0;"Weizmann Institute of Science"
257.0;151.0;213.0;0.0;"Arizona State University"
257.0;152.0;213.0;0.0;"Brown University"
208.0;153.0;140.0;0.0;"Cardiff University"
257.0;154.0;213.0;0.0;"Carnegie Mellon University"
257.0;155.0;213.0;0.0;"Dartmouth College"
257.0;156.0;213.0;0.0;"Emory University"
162.0;157.0;140.0;0.0;"Freie Universität Berlin"
74.0;158.0;71.0;0.0;"The Hebrew University of Jerusalem"
96.0;159.0;71.0;0.0;"Indian Institute of Science"
257.0;160.0;213.0;0.0;"Indiana University Bloomington"
100.0;161.0;71.0;0.0;"Kobe University"
87.0;162.0;71.0;0.0;"Nanjing University"
128.0;163.0;71.0;0.0;"National Cheng Kung University"
128.0;164.0;71.0;0.0;"National Tsing Hua University"
257.0;165.0;213.0;0.0;"North Carolina State University"
208.0;166.0;140.0;0.0;"Queen Mary University of London (QMUL)"
257.0;167.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
152.0;168.0;140.0;0.0;"Technical University of Denmark"
257.0;169.0;213.0;0.0;"Tufts University"
350.0;170.0;349.0;0.0;"Universidad de Buenos Aires"
353.0;171.0;349.0;0.0;"Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP)"
353.0;172.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;173.0;349.0;0.0;"Universidade Federal de São Paulo (UNIFESP)"
174.0;175.0;140.0;0.0;"University of Padua"
174.0;176.0;140.0;0.0;"University of Turin"
199.0;177.0;140.0;0.0;"Universitat Autònoma de Barcelona"
162.0;178.0;140.0;0.0;"Universität Hamburg"
146.0;179.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
158.0;180.0;140.0;0.0;"Université Paris-Sud 11"
171.0;181.0;140.0;0.0;"University College Dublin"
257.0;182.0;213.0;0.0;"University of Arizona"
205.0;183.0;140.0;0.0;"University of Bern"
208.0;184.0;140.0;0.0;"University of Birmingham"
208.0;185.0;140.0;0.0;"University of East Anglia (UEA)"
208.0;186.0;140.0;0.0;"The University of Exeter"
257.0;187.0;213.0;0.0;"University of Illinois at Chicago"
257.0;188.0;213.0;0.0;"University of Maryland, College Park"
257.0;189.0;213.0;0.0;"University of Massachusetts Medical School - Worcester "
257.0;190.0;213.0;0.0;"University of Minnesota"
189.0;191.0;140.0;0.0;"University of Oslo"
222.0;192.0;213.0;0.0;"University of Ottawa"
87.0;193.0;71.0;0.0;"University of Science and Technology of China"
208.0;194.0;140.0;0.0;"University of Southampton"
208.0;195.0;140.0;0.0;"University of Sussex"
100.0;196.0;71.0;0.0;"University of Tsukuba"
257.0;197.0;213.0;0.0;"Virginia Tech"
257.0;198.0;213.0;0.0;"Washington State University"
162.0;199.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
106.0;200.0;71.0;0.0;"Yonsei University"
