"country_tid";"rank_linguistics";"region_tid";"score_linguistics";"title"
257.0;1.0;213.0;97.8;"Massachusetts Institute of Technology (MIT) "
257.0;2.0;213.0;90.3;"University of California, Los Angeles (UCLA)"
208.0;3.0;140.0;80.8;"University of Edinburgh"
208.0;4.0;140.0;80.6;"University of Oxford"
257.0;5.0;213.0;80.3;"Stanford University"
208.0;6.0;140.0;80.2;"University of Cambridge"
257.0;7.0;213.0;79.7;"Harvard University"
257.0;8.0;213.0;77.7;"University of Massachusetts Amherst"
208.0;9.0;140.0;77.1;"Lancaster University"
257.0;10.0;213.0;76.9;"University of California, Berkeley (UCB)"
257.0;13.0;213.0;73.5;"University of Pennsylvania"
319.0;11.0;317.0;76.5;"The Australian National University"
319.0;12.0;317.0;75.0;"The University of Melbourne"
208.0;14.0;140.0;71.6;"UCL (University College London)"
257.0;15.0;213.0;71.4;"Ohio State University"
124.0;16.0;71.0;71.1;"National University of Singapore (NUS)"
319.0;17.0;317.0;70.5;"Monash University"
94.0;18.0;71.0;69.9;"The University of Hong Kong"
257.0;19.0;213.0;69.0;"University of Chicago"
100.0;20.0;71.0;68.8;"The University of Tokyo"
319.0;21.0;317.0;68.6;"The University of Sydney"
87.0;22.0;71.0;67.6;"Peking University"
94.0;23.0;71.0;66.7;"The Hong Kong Polytechnic University"
94.0;24.0;71.0;66.6;"City University of Hong Kong"
187.0;25.0;140.0;65.9;"University of Amsterdam"
187.0;26.0;140.0;65.7;"Leiden University"
257.0;27.0;213.0;65.7;"University of California, Santa Barbara (UCSB)"
222.0;28.0;213.0;64.5;"McGill University"
208.0;29.0;140.0;63.7;"University of Birmingham"
257.0;30.0;213.0;63.0;"University of Texas at Austin"
257.0;31.0;213.0;62.9;"University of Arizona"
222.0;32.0;213.0;62.2;"University of Toronto"
208.0;33.0;140.0;62.0;"The University of Manchester"
257.0;34.0;213.0;61.8;"University of Illinois at Urbana-Champaign"
257.0;35.0;213.0;61.8;"University of Maryland, College Park"
334.0;36.0;317.0;61.6;"The University of Auckland"
319.0;37.0;317.0;61.4;"The University of Queensland"
257.0;38.0;213.0;60.9;"University of California, San Diego (UCSD)"
222.0;39.0;213.0;60.8;"University of British Columbia"
146.0;40.0;140.0;60.1;"KU Leuven"
187.0;41.0;140.0;60.0;"Radboud University Nijmegen"
124.0;42.0;71.0;59.5;"Nanyang Technological University, Singapore (NTU)"
319.0;43.0;317.0;59.3;"Macquarie University"
257.0;44.0;213.0;59.0;"New York University (NYU)"
208.0;45.0;140.0;59.0;"The University of Nottingham"
87.0;46.0;71.0;58.8;"Fudan University"
87.0;47.0;71.0;58.7;"Tsinghua University"
94.0;48.0;71.0;58.5;"The Chinese University of Hong Kong"
162.0;49.0;140.0;58.4;"Universität Hamburg"
162.0;50.0;140.0;58.2;"Ruprecht-Karls-Universität Heidelberg"
106.0;51.0;71.0;58.2;"Seoul National University"
87.0;52.0;71.0;0.0;"Beijing Normal University "
257.0;53.0;213.0;0.0;"Carnegie Mellon University"
151.0;54.0;140.0;0.0;"Charles University"
257.0;55.0;213.0;0.0;"City University of New York"
257.0;56.0;213.0;0.0;"Cornell University"
162.0;57.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
162.0;58.0;140.0;0.0;"Freie Universität Berlin"
257.0;59.0;213.0;0.0;"Georgetown University"
162.0;60.0;140.0;0.0;"Humboldt-Universität zu Berlin"
257.0;61.0;213.0;0.0;"Indiana University Bloomington"
208.0;62.0;140.0;0.0;"King's College London (KCL)"
106.0;63.0;71.0;0.0;"Korea University"
100.0;64.0;71.0;0.0;"Kyoto University"
319.0;65.0;317.0;0.0;"La Trobe University"
162.0;66.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
203.0;67.0;140.0;0.0;"Lund University"
128.0;68.0;71.0;0.0;"National Taiwan Normal University"
128.0;69.0;71.0;0.0;"National Tsing Hua University"
257.0;70.0;213.0;0.0;"Pennsylvania State University"
257.0;71.0;213.0;0.0;"Princeton University"
257.0;72.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
203.0;73.0;140.0;0.0;"Stockholm University"
208.0;74.0;140.0;0.0;"The University of Sheffield"
319.0;75.0;317.0;0.0;"The University of Western Australia"
350.0;76.0;349.0;0.0;"Universidad de Buenos Aires"
199.0;77.0;140.0;0.0;"University of Barcelona"
162.0;78.0;140.0;0.0;"Universität zu Köln"
162.0;79.0;140.0;0.0;"Universität Potsdam"
143.0;80.0;140.0;0.0;"University of Vienna"
222.0;81.0;213.0;0.0;"Université du Québec"
158.0;82.0;140.0;0.0;"Université Paris-Sorbonne (Paris IV)"
146.0;83.0;140.0;0.0;"University of Antwerp"
257.0;84.0;213.0;0.0;"University of California, Santa Cruz"
152.0;85.0;140.0;0.0;"University of Copenhagen"
205.0;86.0;140.0;0.0;"University of Geneva"
146.0;87.0;140.0;0.0;"University of Ghent"
208.0;88.0;140.0;0.0;"University of Glasgow"
257.0;89.0;213.0;0.0;"University of Hawaii at Mañoa "
156.0;90.0;140.0;0.0;"University of Helsinki"
257.0;91.0;213.0;0.0;"University of Michigan"
319.0;92.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
208.0;93.0;140.0;0.0;"University of Southampton"
257.0;94.0;213.0;0.0;"University of Southern California"
189.0;95.0;140.0;0.0;"University of Tromso"
257.0;96.0;213.0;0.0;"University of Washington"
208.0;97.0;140.0;0.0;"University of York"
205.0;98.0;140.0;0.0;"University of Zurich (UZH)"
203.0;99.0;140.0;0.0;"Uppsala University"
187.0;100.0;140.0;0.0;"VU University Amsterdam"
100.0;101.0;71.0;0.0;"Waseda University"
257.0;102.0;213.0;0.0;"Yale University"
152.0;103.0;140.0;0.0;"Aarhus University"
257.0;104.0;213.0;0.0;"Arizona State University"
257.0;105.0;213.0;0.0;"Brown University"
208.0;106.0;140.0;0.0;"Cardiff University"
257.0;107.0;213.0;0.0;"Columbia University"
257.0;108.0;213.0;0.0;"Duke University"
74.0;109.0;71.0;0.0;"The Hebrew University of Jerusalem"
257.0;110.0;213.0;0.0;"Johns Hopkins University"
257.0;112.0;213.0;0.0;"Michigan State University"
128.0;113.0;71.0;0.0;"National Taiwan University (NTU)"
208.0;114.0;140.0;0.0;"Newcastle University"
257.0;115.0;213.0;0.0;"Northwestern University"
87.0;116.0;71.0;0.0;"Shanghai Jiao Tong University"
222.0;117.0;213.0;0.0;"Simon Fraser University"
74.0;118.0;71.0;0.0;"Tel Aviv University"
319.0;119.0;317.0;0.0;"The University of New South Wales"
208.0;120.0;140.0;0.0;"The University of Warwick"
171.0;121.0;140.0;0.0;"Trinity College Dublin"
353.0;122.0;349.0;0.0;"Universidade de São Paulo (USP)"
174.0;123.0;140.0;0.0;"University of Padua"
162.0;124.0;140.0;0.0;"Universität Bielefeld"
162.0;125.0;140.0;0.0;"Universität des Saarlandes"
162.0;126.0;140.0;0.0;"Universität Freiburg"
162.0;127.0;140.0;0.0;"Universität Konstanz"
162.0;128.0;140.0;0.0;"Universität  Leipzig"
199.0;129.0;140.0;0.0;"Universitat Pompeu Fabra"
162.0;130.0;140.0;0.0;"Universität Stuttgart"
146.0;131.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
222.0;132.0;213.0;0.0;"Université de Montréal "
171.0;133.0;140.0;0.0;"University College Dublin"
222.0;134.0;213.0;0.0;"University of Alberta"
222.0;135.0;213.0;0.0;"University of Calgary"
257.0;136.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
334.0;137.0;317.0;0.0;"University of Canterbury"
54.0;138.0;6.0;0.0;"University of Cape Town"
208.0;139.0;140.0;0.0;"University of Essex"
187.0;140.0;140.0;0.0;"University of Groningen"
208.0;141.0;140.0;0.0;"University of Leeds"
146.0;142.0;140.0;0.0;"Université de Liège"
257.0;143.0;213.0;0.0;"University of Oregon"
189.0;144.0;140.0;0.0;"University of Oslo"
222.0;145.0;213.0;0.0;"University of Ottawa"
208.0;146.0;140.0;0.0;"University of Reading"
190.0;147.0;140.0;0.0;"University of Warsaw "
257.0;148.0;213.0;0.0;"University of Wisconsin-Madison"
187.0;149.0;140.0;0.0;"Utrecht University"
222.0;150.0;213.0;0.0;"York University"
208.0;151.0;140.0;0.0;"Bangor University"
74.0;152.0;71.0;0.0;"Ben Gurion University of The Negev"
208.0;153.0;140.0;0.0;"Birkbeck, University of London"
257.0;154.0;213.0;0.0;"Boston University"
257.0;155.0;213.0;0.0;"Brandeis University"
222.0;156.0;213.0;0.0;"Concordia University"
319.0;157.0;317.0;0.0;"Curtin University"
162.0;158.0;140.0;0.0;"Georg-August-Universität Göttingen"
100.0;159.0;71.0;0.0;"Hokkaido University"
96.0;160.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
162.0;161.0;140.0;0.0;"Johannes Gutenberg Universität Mainz"
100.0;162.0;71.0;0.0;"Kobe University"
100.0;163.0;71.0;0.0;"Nagoya University"
87.0;164.0;71.0;0.0;"Nanjing University"
87.0;165.0;71.0;0.0;"Nankai University"
128.0;166.0;71.0;0.0;"National Chengchi University"
128.0;167.0;71.0;0.0;"National Chiao Tung University"
257.0;168.0;213.0;0.0;"Purdue University"
174.0;169.0;140.0;0.0;"Sapienza University of Rome"
54.0;170.0;6.0;0.0;"Stellenbosch University"
222.0;171.0;213.0;0.0;"Western University"
100.0;172.0;71.0;0.0;"Tohoku University"
199.0;173.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;174.0;140.0;0.0;"University of Granada"
174.0;175.0;140.0;0.0;"University of Bologna"
174.0;176.0;140.0;0.0;"University of Pisa"
199.0;177.0;140.0;0.0;"Universitat de Valencia"
162.0;178.0;140.0;0.0;"Friedrich-Alexander-Universität Erlangen-Nürnberg"
162.0;179.0;140.0;0.0;"Universität Frankfurt am Main"
146.0;180.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;181.0;140.0;0.0;"Université Paris Descartes"
158.0;182.0;140.0;0.0;"Université Pierre Mendès France - Grenoble 2"
189.0;183.0;140.0;0.0;"University of Bergen"
205.0;184.0;140.0;0.0;"University of Bern"
257.0;185.0;213.0;0.0;"University of Colorado Boulder"
257.0;186.0;213.0;0.0;"University of Connecticut"
257.0;187.0;213.0;0.0;"University of Delaware"
257.0;188.0;213.0;0.0;"University of Florida"
257.0;189.0;213.0;0.0;"University of Iowa"
257.0;190.0;213.0;0.0;"University of Kansas"
208.0;191.0;140.0;0.0;"University of Liverpool"
257.0;192.0;213.0;0.0;"University of North Carolina, Chapel Hill"
257.0;193.0;213.0;0.0;"University of Pittsburgh"
54.0;194.0;6.0;0.0;"University of Pretoria"
87.0;195.0;71.0;0.0;"University of Science and Technology of China"
208.0;196.0;140.0;0.0;"University of St Andrews"
208.0;197.0;140.0;0.0;"University of Sussex"
257.0;198.0;213.0;0.0;"Washington State University"
162.0;199.0;140.0;0.0;"Westfälische Wilhelms-Universität Münster "
87.0;200.0;71.0;0.0;"Zhejiang University"
