"country_tid";"rank_mathematics";"region_tid";"score_mathematics";"title"
257.0;1.0;213.0;97.7;"Harvard University"
257.0;2.0;213.0;95.9;"Massachusetts Institute of Technology (MIT) "
208.0;3.0;140.0;95.8;"University of Oxford"
257.0;4.0;213.0;94.8;"University of California, Berkeley (UCB)"
208.0;5.0;140.0;94.8;"University of Cambridge"
257.0;6.0;213.0;94.2;"Princeton University"
257.0;7.0;213.0;94.2;"Stanford University"
257.0;8.0;213.0;91.6;"University of California, Los Angeles (UCLA)"
205.0;9.0;140.0;89.0;"ETH Zurich - Swiss Federal Institute of Technology"
257.0;10.0;213.0;88.8;"New York University (NYU)"
208.0;11.0;140.0;88.5;"Imperial College London"
257.0;12.0;213.0;87.3;"University of Chicago"
124.0;13.0;71.0;86.7;"National University of Singapore (NUS)"
257.0;14.0;213.0;86.4;"California Institute of Technology (Caltech)"
222.0;15.0;213.0;84.7;"University of Toronto"
257.0;16.0;213.0;83.2;"Carnegie Mellon University"
257.0;17.0;213.0;82.8;"University of Texas at Austin"
257.0;18.0;213.0;82.5;"Columbia University"
257.0;19.0;213.0;82.2;"University of Michigan"
319.0;20.0;317.0;82.0;"The Australian National University"
158.0;21.0;140.0;81.9;"Ecole Polytechnique"
257.0;22.0;213.0;81.8;"Yale University"
100.0;23.0;71.0;81.6;"The University of Tokyo"
222.0;24.0;213.0;81.1;"University of Waterloo"
208.0;25.0;140.0;80.9;"The University of Warwick"
94.0;26.0;71.0;80.6;"The Chinese University of Hong Kong"
257.0;27.0;213.0;79.9;"Georgia Institute of Technology"
222.0;28.0;213.0;79.3;"University of British Columbia"
100.0;29.0;71.0;78.9;"Kyoto University"
87.0;30.0;71.0;78.4;"Peking University"
319.0;31.0;317.0;77.9;"The University of Sydney"
208.0;32.0;140.0;77.9;"University of Edinburgh"
257.0;33.0;213.0;77.5;"University of California, San Diego (UCSD)"
208.0;34.0;140.0;77.4;"University of Bristol"
87.0;35.0;71.0;77.3;"Tsinghua University"
205.0;36.0;140.0;77.2;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
208.0;37.0;140.0;77.2;"UCL (University College London)"
257.0;38.0;213.0;76.8;"Cornell University"
353.0;39.0;349.0;76.6;"Universidade de São Paulo (USP)"
257.0;40.0;213.0;76.4;"Brown University"
94.0;41.0;71.0;76.4;"City University of Hong Kong"
162.0;42.0;140.0;76.4;"Rheinische Friedrich-Wilhelms-Universität Bonn"
257.0;43.0;213.0;76.2;"University of Illinois at Urbana-Champaign"
162.0;44.0;140.0;76.1;"Technische Universität München"
158.0;45.0;140.0;76.0;"Ecole normale supérieure, Paris"
94.0;46.0;71.0;76.0;"The Hong Kong University of Science and Technology"
94.0;47.0;71.0;76.0;"The University of Hong Kong"
124.0;48.0;71.0;75.8;"Nanyang Technological University, Singapore (NTU)"
193.0;49.0;140.0;75.4;"Lomonosov MSU"
208.0;50.0;140.0;75.3;"The University of Manchester"
187.0;51.0;140.0;0.0;"Delft University of Technology"
257.0;52.0;213.0;0.0;"Duke University"
87.0;53.0;71.0;0.0;"Fudan University"
162.0;54.0;140.0;0.0;"Humboldt-Universität zu Berlin"
96.0;55.0;71.0;0.0;"Indian Institute of Technology Bombay (IITB)"
106.0;56.0;71.0;0.0;"KAIST - Korea Advanced Institute of Science & Technology"
146.0;57.0;140.0;0.0;"KU Leuven"
208.0;58.0;140.0;0.0;"King's College London (KCL)"
162.0;59.0;140.0;0.0;"Karlsruhe Institute of Technology (KIT)"
203.0;60.0;140.0;0.0;"KTH Royal Institute of Technology"
162.0;61.0;140.0;0.0;"Ludwig-Maximilians-Universität München"
222.0;62.0;213.0;0.0;"McGill University"
128.0;63.0;71.0;0.0;"National Taiwan University (NTU)"
257.0;64.0;213.0;0.0;"Northwestern University"
257.0;65.0;213.0;0.0;"Ohio State University"
100.0;66.0;71.0;0.0;"Osaka University"
174.0;67.0;140.0;0.0;"Politecnico di Milano"
174.0;68.0;140.0;0.0;"Politecnico di Torino"
257.0;69.0;213.0;0.0;"Purdue University"
162.0;70.0;140.0;0.0;"RWTH Aachen University"
257.0;71.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
174.0;72.0;140.0;0.0;"Sapienza University of Rome"
106.0;73.0;71.0;0.0;"Seoul National University"
87.0;74.0;71.0;0.0;"Shanghai Jiao Tong University"
74.0;75.0;71.0;0.0;"Technion - Israel Institute of Technology"
162.0;76.0;140.0;0.0;"Technische Universität Berlin"
143.0;77.0;140.0;0.0;"Vienna University of Technology"
257.0;78.0;213.0;0.0;"Texas A&M University"
334.0;79.0;317.0;0.0;"The University of Auckland"
319.0;80.0;317.0;0.0;"The University of Melbourne"
319.0;81.0;317.0;0.0;"The University of New South Wales"
319.0;82.0;317.0;0.0;"The University of Queensland"
100.0;83.0;71.0;0.0;"Tokyo Institute of Technology"
241.0;84.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
353.0;85.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
146.0;86.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
222.0;87.0;213.0;0.0;"Université de Montréal "
158.0;88.0;140.0;0.0;"Université Paris-Sud 11"
158.0;89.0;140.0;0.0;"Université Pierre et Marie Curie (UPMC)"
222.0;90.0;213.0;0.0;"University of Alberta"
187.0;91.0;140.0;0.0;"University of Amsterdam"
257.0;92.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
208.0;93.0;140.0;0.0;"University of Glasgow"
208.0;94.0;140.0;0.0;"University of Leeds"
257.0;95.0;213.0;0.0;"University of Maryland, College Park"
257.0;96.0;213.0;0.0;"University of Minnesota"
257.0;97.0;213.0;0.0;"University of Pennsylvania"
87.0;98.0;71.0;0.0;"University of Science and Technology of China"
257.0;99.0;213.0;0.0;"University of Washington"
257.0;100.0;213.0;0.0;"University of Wisconsin-Madison"
257.0;101.0;213.0;0.0;"Arizona State University"
257.0;102.0;213.0;0.0;"Boston University"
151.0;103.0;140.0;0.0;"Charles University"
187.0;104.0;140.0;0.0;"Eindhoven University of Technology"
74.0;105.0;71.0;0.0;"The Hebrew University of Jerusalem"
96.0;106.0;71.0;0.0;"Indian Institute of Technology Delhi (IITD)"
96.0;107.0;71.0;0.0;"Indian Institute of Technology, Madras (IITM)"
257.0;108.0;213.0;0.0;"Johns Hopkins University"
77.0;109.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
100.0;110.0;71.0;0.0;"Kyushu University"
257.0;111.0;213.0;0.0;"Michigan State University"
100.0;112.0;71.0;0.0;"Nagoya University"
87.0;113.0;71.0;0.0;"Nanjing University"
87.0;114.0;71.0;0.0;"Nankai University"
128.0;115.0;71.0;0.0;"National Cheng Kung University"
257.0;116.0;213.0;0.0;"North Carolina State University"
189.0;117.0;140.0;0.0;"Norwegian University of Science And Technology"
257.0;118.0;213.0;0.0;"Pennsylvania State University"
106.0;119.0;71.0;0.0;"Pohang University of Science And Technology (POSTECH)"
162.0;120.0;140.0;0.0;"Ruprecht-Karls-Universität Heidelberg"
87.0;121.0;71.0;0.0;"Shanghai University"
162.0;122.0;140.0;0.0;"Technische Universität Darmstadt"
74.0;123.0;71.0;0.0;"Tel Aviv University"
94.0;124.0;71.0;0.0;"The Hong Kong Polytechnic University"
208.0;125.0;140.0;0.0;"The University of Nottingham"
100.0;126.0;71.0;0.0;"Tohoku University"
199.0;127.0;140.0;0.0;"University Complutense Madrid"
350.0;128.0;349.0;0.0;"Universidad de Buenos Aires"
355.0;129.0;349.0;0.0;"Universidad de Chile"
174.0;130.0;140.0;0.0;"University of Padua"
174.0;131.0;140.0;0.0;"Università degli Studi di Roma - Tor Vergata"
174.0;132.0;140.0;0.0;"University of Bologna"
174.0;133.0;140.0;0.0;"University of Pisa"
199.0;134.0;140.0;0.0;"Universitat Autònoma de Barcelona"
199.0;135.0;140.0;0.0;"University of Barcelona"
199.0;136.0;140.0;0.0;"Universitat Politècnica de Catalunya "
143.0;137.0;140.0;0.0;"University of Vienna"
146.0;138.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;139.0;140.0;0.0;"Université Paris-Dauphine"
158.0;140.0;140.0;0.0;"Université Paul Sabatier Toulouse III"
113.0;141.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
257.0;142.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
257.0;143.0;213.0;0.0;"University of Colorado Boulder"
152.0;144.0;140.0;0.0;"University of Copenhagen"
156.0;145.0;140.0;0.0;"University of Helsinki"
257.0;146.0;213.0;0.0;"University of Southern California"
205.0;147.0;140.0;0.0;"University of Zurich (UZH)"
187.0;148.0;140.0;0.0;"Utrecht University"
74.0;149.0;71.0;0.0;"Weizmann Institute of Science"
106.0;150.0;71.0;0.0;"Yeungnam University "
156.0;151.0;140.0;0.0;"Aalto University"
87.0;152.0;71.0;0.0;"Beijing Institute of Technology"
87.0;153.0;71.0;0.0;"Beijing Normal University "
203.0;154.0;140.0;0.0;"Chalmers University of Technology"
257.0;155.0;213.0;0.0;"City University of New York"
151.0;156.0;140.0;0.0;"Czech Technical University In Prague"
162.0;157.0;140.0;0.0;"Eberhard Karls Universität Tübingen"
169.0;158.0;140.0;0.0;"Eotvos Lorand University   "
162.0;159.0;140.0;0.0;"Freie Universität Berlin"
96.0;160.0;71.0;0.0;"Indian Institute of Science"
96.0;161.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
203.0;162.0;140.0;0.0;"Lund University"
222.0;163.0;213.0;0.0;"McMaster University"
134.0;164.0;71.0;0.0;"Middle East Technical University"
319.0;165.0;317.0;0.0;"Monash University"
128.0;166.0;71.0;0.0;"National Chiao Tung University"
128.0;167.0;71.0;0.0;"National Sun Yat-sen University"
166.0;168.0;140.0;0.0;"National Technical University of Athens"
128.0;169.0;71.0;0.0;"National Tsing Hua University"
355.0;170.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
208.0;171.0;140.0;0.0;"Queen Mary University of London (QMUL)"
319.0;172.0;317.0;0.0;"Queensland University of Technology (QUT)"
257.0;173.0;213.0;0.0;"Rice University"
193.0;174.0;140.0;0.0;"Saint-Petersburg State University"
87.0;175.0;71.0;0.0;"Sichuan University"
222.0;176.0;213.0;0.0;"Simon Fraser University"
106.0;177.0;71.0;0.0;"Sungkyunkwan University"
152.0;178.0;140.0;0.0;"Technical University of Denmark"
162.0;179.0;140.0;0.0;"Technische Universität Dresden"
319.0;180.0;317.0;0.0;"The University of Adelaide"
199.0;181.0;140.0;0.0;"Universidad Autónoma de Madrid"
199.0;182.0;140.0;0.0;"Universitat Politècnica de València"
353.0;183.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
162.0;185.0;140.0;0.0;"Universität Freiburg"
162.0;186.0;140.0;0.0;"Universität Stuttgart"
158.0;187.0;140.0;0.0;"Université Paris Diderot - Paris 7"
257.0;188.0;213.0;0.0;"University of Arizona"
208.0;189.0;140.0;0.0;"University of Bath"
257.0;190.0;213.0;0.0;"University of California, Davis"
257.0;191.0;213.0;0.0;"University of Florida"
205.0;192.0;140.0;0.0;"University of Geneva"
257.0;193.0;213.0;0.0;"University of Iowa"
189.0;194.0;140.0;0.0;"University of Oslo"
208.0;195.0;140.0;0.0;"University of Southampton"
190.0;196.0;140.0;0.0;"University of Warsaw "
203.0;197.0;140.0;0.0;"Uppsala University"
257.0;198.0;213.0;0.0;"Vanderbilt University"
106.0;199.0;71.0;0.0;"Yonsei University"
222.0;200.0;213.0;0.0;"York University"
87.0;201.0;71.0;0.0;"Zhejiang University"
